,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom1,0.4128796680497926,0.3879598662207358,0.20454545454545456
v2.1-custom2,0.42736800861984525,0.40329218106995884,0.16666666666666666
v2.1-json,0.41569716199541684,0.37630662020905925,0.26737967914438504
v2.1-md,0.3820614126290982,0.3866171003717472,0.22580645161290322
v2.1-html,0.4112903225806452,0.3967611336032389,0.16666666666666666
v2.1-custom4,0.4289631644859006,0.414985590778098,0.16666666666666666
v2.1-unstruct,0.381709720085297,0.321285140562249,0.2073170731707317
