,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom1,0.29126433655197426,0.27027027027027023,0.21276595744680848
v2.1-custom2,0.30027584837022225,0.26463104325699743,0.22459893048128343
v2.1-json,0.2857780482856564,0.2467866323907455,0.2328042328042328
v2.1-md,0.280267869370246,0.27860696517412936,0.22340425531914895
v2.1-html,0.3152197998234842,0.3094555873925502,0.21390374331550802
v2.1-custom4,0.3015873015873015,0.0410958904109589,0.22459893048128343
v2.1-unstruct,0.27495817066369216,0.0410958904109589,0.19565217391304343
