,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom1,0.6600147160471806,0.4618736383442266,0.4830508474576271
v2.1-custom2,0.6897352162771778,0.48356807511737093,0.3786407766990291
v2.1-json,0.6855123674911661,0.5906432748538012,0.5084745762711864
v2.1-md,0.672660470685492,0.5480093676814988,0.47826086956521746
v2.1-html,0.646677088343755,0.5095238095238094,0.4056603773584906
v2.1-custom4,0.6106502775746298,0.5217391304347826,0.4845814977973568
v2.1-unstruct,0.6213083660266231,0.44111349036402564,0.5206611570247933
