,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom1,0.44935325602140946,0.39541547277936967,0.11834319526627218
v2.1-custom2,0.4544369487603392,0.47933884297520657,0.17977528089887643
v2.1-json,0.43613707165109034,0.4213333333333333,0.17977528089887643
v2.1-md,0.4351401777384985,0.3639349156590536,0.1286549707602339
v2.1-html,0.46130859923963374,0.3781094527363183,0.11834319526627218
v2.1-custom4,0.4701599497489181,0.4915254237288135,0.17977528089887643
v2.1-unstruct,0.44285714285714284,0.4144578313253013,0.11834319526627218
