,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom1,0.32279196458971743,0.3480519480519481,0.3425925925925926
v2.1-custom2,0.3274021352313167,0.3928571428571428,0.21052631578947364
v2.1-json,0.3333333333333333,0.27227722772277224,0.17582417582417578
v2.1-md,0.3866171003717473,0.37500000000000006,0.1704545454545455
v2.1-html,0.33691756272401435,0.28571428571428564,0.1704545454545455
v2.1-custom4,0.3772200284884874,0.31143552311435524,0.2755102040816327
v2.1-unstruct,0.4338235294117648,0.29873417721518986,0.2111111111111111
