,overall
v2.1-unstruct,0.30807903674709664
v2.1-md,0.2995342079186154
v2.1-json,0.30231265194540025
v2.1-html,0.30057464320339
v2.1-custom1,0.3037264609696448
v2.1-custom2,0.30245808919417955
v2.1-custom4,0.29166806417189084
