,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom1,0.322657849157613,0.2831325301204819,0.22549019607843135
v2.1-custom2,0.3249809177987302,0.24411134903640255,0.2371134020618557
v2.1-json,0.2597009996316478,0.24623115577889446,0.2233009708737864
v2.1-md,0.3070884729206634,0.2879177377892031,0.23376623376623376
v2.1-html,0.3278688524590163,0.26666666666666666,0.215962441314554
v2.1-custom4,0.2991029007953432,0.0,0.1708542713567839
v2.1-unstruct,0.3140173356509169,0.27129337539432175,0.27751196172248804
