,overall
v2.1-unstruct,0.46248477898914575
v2.1-md,0.4544802510062185
v2.1-json,0.46548729453941545
v2.1-html,0.4581333305554531
v2.1-custom1,0.45931289921540264
v2.1-custom2,0.45879801995265623
v2.1-custom4,0.4461556324630196
