,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom1,0.6168733814910726,0.43129770992366406,0.20833333333333334
v2.1-json,0.598321765590117,0.4962406015037594,0.20833333333333334
v2.1-unstruct,0.5248533637937756,0.5291479820627802,0.3781094527363183
v2.1-custom4,0.5939688322201984,0.5074626865671642,0.21649484536082475
v2.1-html,0.5801623947178219,0.5677083333333333,0.21761658031088082
v2.1-md,0.5563889214422438,0.65814696485623,0.21761658031088082
v2.1-custom2,0.5825204168142257,0.48979591836734687,0.21649484536082475
