,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
unstructured,0.5333866243405717,0.5678321517451952,0.49253298909925414
json-structured-v1,0.46670410000890533,0.558695449937686,0.4521799070194758
json-structured-v2,0.5338572398743656,0.5673966516327194,0.5129648532042512
html-structured-v1,0.4193202143644622,0.4713127579514135,0.3965099915564312
