,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom4,0.6846153846153846,0.43705463182897863,0.2909090909090909
v2.1-json,0.7045454545454546,0.4957983193277311,0.45405405405405397
v2.1-custom2,0.7222222222222223,0.5490196078431372,0.2918918918918919
v2.1-unstruct,0.669172932330827,0.5837563451776651,0.32558139534883723
v2.1-custom1,0.7244094488188977,0.5772151898734178,0.4842105263157895
v2.1-md,0.7343749999999999,0.5852272727272727,0.3468208092485549
v2.1-html,0.6953125000000001,0.4948979591836735,0.2918918918918919
