,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-json,0.7672413793103449,0.24324324324324326,0.26573426573426573
v2.1-custom1,0.759493670886076,0.6119402985074627,0.24285714285714285
v2.1-unstruct,0.7698744769874478,0.7044534412955465,0.2797202797202797
v2.1-custom2,0.7305936073059361,0.5722070844686649,0.2797202797202797
v2.1-custom4,0.5941422594142259,0.28165007112375534,0.22641509433962262
v2.1-md,0.6900000000000001,0.5658263305322129,0.39473684210526316
v2.1-html,0.6934673366834171,0.5232558139534884,0.2797202797202797
