,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom1,0.7071428571428572,0.35561497326203206,0.4056603773584906
v2.1-custom2,0.6524822695035462,0.6130653266331658,0.38383838383838376
v2.1-custom4,0.6563467492260062,0.5213483146067415,0.2994652406417112
v2.1-md,0.6713286713286714,0.6037735849056604,0.4147465437788018
v2.1-json,0.6597222222222222,0.5714285714285714,0.4150943396226414
v2.1-unstruct,0.729032258064516,0.5751978891820579,0.33507853403141363
v2.1-html,0.6689419795221843,0.617283950617284,0.3316582914572864
