,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-json,0.6787003610108302,0.5035294117647058,0.36666666666666664
v2.1-custom1,0.6410256410256411,0.5541561712846348,0.5982142857142857
v2.1-unstruct,0.6642857142857143,0.44100580270793033,0.4293193717277487
v2.1-custom2,0.632258064516129,0.5467980295566504,0.6188340807174887
v2.1-custom4,0.6410256410256411,0.459958932238193,0.4951456310679611
v2.1-md,0.6193548387096774,0.5879120879120879,0.6551724137931034
v2.1-html,0.6459143968871596,0.6351351351351351,0.6188340807174887
