,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom4,0.32911392405063294,0.26912928759894456,0.19310344827586207
v2.1-json,0.3565891472868217,0.2711864406779661,0.21518987341772153
v2.1-custom2,0.3833333333333333,0.41577060931899645,0.18309859154929578
v2.1-unstruct,0.44,0.41044776119402987,0.24489795918367346
v2.1-custom1,0.40157480314960625,0.26857142857142857,0.19444444444444445
v2.1-md,0.47210300429184554,0.2813455657492355,0.19310344827586207
v2.1-html,0.3467741935483871,0.3985239852398524,0.19444444444444445
