,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-json,0.3593220338983051,0.4262295081967213,0.33507853403141363
v2.1-custom1,0.3529411764705882,0.36298932384341637,0.3645320197044335
v2.1-unstruct,0.3418181818181818,0.3180428134556575,0.32160804020100503
v2.1-custom2,0.3490909090909091,0.42718446601941745,0.3243243243243243
v2.1-custom4,0.34931506849315064,0.3624595469255663,0.15469613259668508
v2.1-md,0.35555555555555557,0.3243243243243243,0.33507853403141363
v2.1-html,0.3554006968641115,0.33333333333333326,0.15469613259668508
