,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-json,0.30959752321981426,0.2543640897755611,0.11518324607329843
v2.1-custom1,0.3121019108280255,0.23963133640552997,0.08743169398907104
v2.1-unstruct,0.2977346278317152,0.25728155339805825,0.08791208791208792
v2.1-custom2,0.2967741935483871,0.2679900744416874,0.11578947368421053
v2.1-custom4,0.31875,0.0,0.11518324607329843
v2.1-md,0.2848297213622291,0.26499999999999996,0.08743169398907104
v2.1-html,0.29830508474576267,0.2416452442159383,0.11518324607329843
