,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom4,0.27976190476190477,0.26636568848758463,0.13414634146341464
v2.1-json,0.29152542372881357,0.2987951807228916,0.13580246913580246
v2.1-custom2,0.2783171521035599,0.2716049382716049,0.13414634146341464
v2.1-unstruct,0.29069767441860467,0.13043478260869565,0.13414634146341464
v2.1-custom1,0.2671480144404332,0.24778761061946905,0.13414634146341464
v2.1-md,0.28671328671328666,0.3433242506811989,0.13580246913580246
v2.1-html,0.32996632996633,0.22675736961451246,0.13414634146341464
