,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom1,0.17512915413678773,0.22674418604651161,0.09375000000000001
v2.1-json,0.19246861924686195,0.2142857142857143,0.09375000000000001
v2.1-unstruct,0.16888888888888887,0.2039911308203991,0.09375000000000001
v2.1-custom4,0.22125347869552295,0.21029082774049215,0.09375000000000001
v2.1-html,0.2362776135805659,0.22857142857142856,0.09375000000000001
v2.1-md,0.18345995090181136,0.23749999999999996,0.09375000000000001
v2.1-custom2,0.1796875,0.24365482233502536,0.09375000000000001
