,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom4,0.47019867549668876,0.4302059496567505,0.4916666666666667
v2.1-unstruct,0.5337837837837838,0.49201277955271566,0.4206008583690987
v2.1-md,0.5217391304347827,0.4,0.3636363636363636
v2.1-custom1,0.5252525252525252,0.49032258064516127,0.2358974358974359
v2.1-html,0.47619047619047616,0.4776119402985074,0.42666666666666664
v2.1-custom2,0.49382716049382713,0.4061810154525386,0.3137254901960784
v2.1-json,0.5418060200668897,0.41013824884792627,0.4107142857142857
