,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-json,0.5644599303135889,0.5328467153284672,0.2838709677419355
v2.1-custom1,0.5530546623794212,0.5622775800711745,0.31645569620253167
v2.1-unstruct,0.6449275362318841,0.5647058823529412,0.31645569620253167
v2.1-custom2,0.5813953488372093,0.5342960288808664,0.3855421686746988
v2.1-custom4,0.5909090909090909,0.6086956521739131,0.3037974683544304
v2.1-md,0.611764705882353,0.5968992248062015,0.22972972972972977
v2.1-html,0.6122448979591837,0.5508474576271186,0.3855421686746988
