,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom1,0.45614035087719296,0.4233576642335766,0.35106382978723405
v2.1-custom2,0.5014925373134329,0.41075794621026895,0.3422459893048128
v2.1-custom4,0.45967741935483875,0.29173419773095627,0.3422459893048128
v2.1-md,0.49079754601226994,0.3693045563549161,0.35106382978723405
v2.1-json,0.5443786982248521,0.40750670241286857,0.3492063492063492
v2.1-unstruct,0.48466257668711654,0.0547945205479452,0.32608695652173914
v2.1-html,0.5448504983388704,0.46194225721784776,0.3422459893048128
