,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom1,0.5972222222222222,0.3146853146853147,0.544
v2.1-custom2,0.5056179775280899,0.3893805309734513,0.6329113924050632
v2.1-custom4,0.5945945945945945,0.29629629629629634,0.5333333333333333
v2.1-md,0.5789473684210527,0.31046931407942235,0.4736842105263158
v2.1-json,0.5,0.5974025974025975,0.5546218487394958
v2.1-unstruct,0.5256410256410255,0.3942307692307693,0.617283950617284
v2.1-html,0.5490196078431373,0.5569620253164557,0.4915254237288136
