,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom4,0.3066666666666667,0.2511415525114155,0.29743589743589743
v2.1-unstruct,0.2857142857142857,0.3526315789473684,0.29292929292929293
v2.1-md,0.3571428571428571,0.2904564315352697,0.2805429864253394
v2.1-custom1,0.31316725978647686,0.2815533980582524,0.2424242424242424
v2.1-html,0.3188405797101449,0.2525458248472505,0.21468926553672316
v2.1-custom2,0.28358208955223885,0.29411764705882354,0.22580645161290322
v2.1-json,0.36805555555555547,0.2962962962962963,0.3022222222222223
