,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom1,0.6474820143884892,0.6538461538461539,0.42424242424242425
v2.1-json,0.6693227091633466,0.5530864197530864,0.3508771929824562
v2.1-unstruct,0.645045825214693,0.6417445482866043,0.3825136612021858
v2.1-custom4,0.6790640824166229,0.5698324022346368,0.3510638297872341
v2.1-html,0.6610878661087866,0.6238532110091742,0.2891566265060241
v2.1-md,0.6810309489649518,0.5891891891891892,0.2891566265060241
v2.1-custom2,0.6610878661087866,0.6557377049180327,0.3195266272189349
