,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom1,0.460431654676259,0.4038461538461538,0.30303030303030304
v2.1-json,0.4780876494023904,0.3407407407407408,0.32748538011695905
v2.1-unstruct,0.4096702027855958,0.49844236760124616,0.30601092896174864
v2.1-custom4,0.4505558465747046,0.3687150837988827,0.26595744680851063
v2.1-html,0.4435146443514644,0.4709480122324159,0.24096385542168677
v2.1-md,0.4282554485208718,0.3837837837837837,0.24096385542168677
v2.1-custom2,0.4435146443514644,0.38688524590163936,0.27218934911242604
