,question_01,question_02,question_03
v2.1-unstruct,0.4069717917749709,0.5188660590101238,0.40578069641032016
v2.1-md,0.38882137852513576,0.46902277743379056,0.348401693883224
v2.1-json,0.43218772651798876,0.4671429039245132,0.41756057590713236
v2.1-html,0.34108809064166207,0.42912568001292944,0.37986890163378545
v2.1-custom1,0.43555739743058436,0.45557770759206423,0.3834670493731293
v2.1-custom2,0.3674331193939037,0.4534674913898991,0.34442385367715267
v2.1-custom4,0.319223080119986,0.43448364666494976,0.3467879656742465
