,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom4,0.653225806451613,0.46601941747572806,0.21301775147928997
v2.1-unstruct,0.5962264150943397,0.5542168674698795,0.2560975609756097
v2.1-md,0.6050420168067226,0.652892561983471,0.36363636363636365
v2.1-custom1,0.6694214876033057,0.6846153846153846,0.1904761904761905
v2.1-html,0.5800865800865801,0.6218487394957983,0.2142857142857143
v2.1-custom2,0.6437768240343348,0.5787965616045844,0.22485207100591714
v2.1-json,0.6585365853658537,0.6063348416289592,0.380952380952381
