,question_01,question_02,question_03
v2.1-unstruct,0.5173286759705439,0.6559595291471769,0.5573407903510823
v2.1-md,0.5516069168057519,0.599235956861825,0.49286878977899157
v2.1-toml,0.3645130638035193,0.4766161160453534,0.4543725991493404
v2.1-json,0.5544306269323988,0.5912503489131842,0.540883937757242
v2.1-html,0.496996528841767,0.6096175420544152,0.5462263364855846
v2.1-custom1,0.595278388336035,0.5878449544882932,0.5321253917505775
v2.1-custom2,0.5210445739857504,0.6044109061229929,0.5374217995127185
