,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-md,0.21016949152542375,0.20580474934036938,0.13333333333333333
v2.1-custom4,0.24451410658307207,0.20050125313283207,0.13333333333333333
v2.1-json,0.23052959501557632,0.1813186813186813,0.13333333333333333
v2.1-custom1,0.21153846153846156,0.16666666666666666,0.13333333333333333
v2.1-custom2,0.2140468227424749,0.2326869806094183,0.13333333333333333
v2.1-unstruct,0.1914191419141914,0.18592964824120603,0.13333333333333333
v2.1-html,0.21864951768488744,0.21212121212121213,0.13333333333333333
