,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom4,0.6544117647058822,0.5958549222797928,0.2087912087912088
v2.1-unstruct,0.4000000000000001,0.43391521197007477,0.4461538461538461
v2.1-md,0.6466165413533834,0.611111111111111,0.44239631336405527
v2.1-custom1,0.6379928315412187,0.5123966942148761,0.39613526570048313
v2.1-html,0.6231884057971016,0.5985037406483791,0.2617801047120419
v2.1-custom2,0.6231884057971016,0.595,0.3925233644859813
v2.1-json,0.6821192052980133,0.5492227979274611,0.564459930313589
