,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-custom4,0.6015037593984962,0.4803921568627451,0.360655737704918
v2.1-unstruct,0.5468164794007491,0.4768856447688564,0.3877551020408163
v2.1-md,0.6058394160583941,0.5172413793103448,0.33142857142857146
v2.1-custom1,0.5978647686832739,0.4782608695652174,0.2758620689655173
v2.1-html,0.5947955390334572,0.49142857142857144,0.38383838383838387
v2.1-custom2,0.5333333333333334,0.4699738903394256,0.38383838383838387
v2.1-json,0.5434782608695652,0.5191256830601093,0.2758620689655173
