,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-json,0.5263157894736842,0.2682926829268293,0.4294478527607362
v2.1-custom1,0.5599999999999999,0.29024943310657597,0.4507042253521127
v2.1-unstruct,0.5610859728506787,0.3814432989690722,0.4571428571428572
v2.1-custom2,0.5000000000000001,0.31607629427792916,0.4832214765100672
v2.1-custom4,0.5194805194805194,0.24333333333333332,0.44137931034482764
v2.1-md,0.5263157894736842,0.3300970873786408,0.44137931034482764
v2.1-html,0.5504587155963302,0.30626450116009285,0.4507042253521127
