,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-json,0.34449760765550236,0.16260162601626013,0.3190184049079755
v2.1-custom1,0.37,0.1950113378684807,0.33802816901408445
v2.1-unstruct,0.35294117647058826,0.22680412371134023,0.3857142857142858
v2.1-custom2,0.3145161290322581,0.2016348773841962,0.3624161073825503
v2.1-custom4,0.35497835497835495,0.15999999999999998,0.3172413793103448
v2.1-md,0.34449760765550236,0.19417475728155337,0.33103448275862074
v2.1-html,0.35779816513761475,0.18561484918793503,0.33802816901408445
