,question_01,question_02,question_03
v0-unstruct,0.5974361814119877,0.6479810251070229,0.5055312698624801
v2-md,0.5467965628646738,0.5748736098155959,0.520381330239145
v2-json,0.6043033026788897,0.5303643400233531,0.5501576026983429
v2-html,0.5633358469370211,0.6098849466750701,0.5850137613428168
v2-custom1,0.5221760265619277,0.4914249278212068,0.5326408845431985
v2-custom2,0.5509178626178547,0.5850539069290084,0.5856170491082425
