,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-json,0.506578947368421,0.3973509933774835,0.15384615384615383
v2.1-custom1,0.48666666666666664,0.38686131386861305,0.18285714285714283
v2.1-unstruct,0.48630136986301375,0.38497652582159625,0.15384615384615383
v2.1-custom2,0.48387096774193544,0.2617801047120419,0.18285714285714283
v2.1-custom4,0.6423357664233577,0.463768115942029,0.18285714285714283
v2.1-md,0.5276872964169381,0.4037122969837587,0.15384615384615383
v2.1-html,0.49295774647887325,0.5269121813031162,0.15384615384615383
