,llama3-70b-8192,mixtral-8x7b-32768,gemma-7b-it
v2.1-unstruct,0.5400188876513845,0.5056344316581829,0.26825625081905063
v2.1-md,0.5390690918736489,0.4715663679910277,0.27168169555579735
v2.1-json,0.5465890644245951,0.4709521074630637,0.2780732722494521
v2.1-html,0.5509680662698951,0.49443978527656557,0.2552169516226634
v2.1-custom1,0.5434352224623773,0.48351596574141037,0.2936000682986861
v2.1-custom2,0.5243546438031006,0.5006935619793158,0.269082225300639
v2.1-custom4,0.5724261013458025,0.4671649410072144,0.2708311327958723
